what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1397736560633
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1397736562996
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1397736563408
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1397736564125
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1397736566087
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397736622318
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397736648852
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1397736650424
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1397736671528
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397736672390
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397736676379
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397736678641
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397736692817
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1397736693831
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1397736696850
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.503.v201201190400,"org.eclipse.jst.j2ee.J2EEPerspective",1397736701043
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1397736702508
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1397736704630
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1397736711702
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1397736714685
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1397736715616
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397736717658
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397736724807
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397736727379
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397736731055
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397736731615
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397736824916
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1397736825349
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1397736826538
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1397736828005
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397736829842
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397736830369
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1397736837659
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397736838485
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397736924884
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397736925581
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397736993692
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1397736994326
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397737002295
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397737008095
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1397737008674
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397737021947
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397737024076
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397737028098
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397737045588
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1397737054624
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1397737086899
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397737113222
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397737143402
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1397737143411
opened,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1397737143819
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1397737143898
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1397737144934
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1397737145773
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1397737155487
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1397737156844
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1397737160089
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1397737161082
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1397737161291
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1397737162022
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.format.document",1397737187550
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1397737199854
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1397737213128
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1397737222396
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1397737226394
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397737227395
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397737228982
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397737230078
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397737237850
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1397737238547
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1397737239848
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1397737255198
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1397737255628
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1397737263447
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1397737304697
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397737305600
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397737309394
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1397737317535
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1397737319314
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397737321093
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397737342816
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1397737345100
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1397737350225
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1397737350481
